Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
-------	""	""	""	""	""
6000	Zentrale Aufgaben und Recht	""	""	""	""
--------	--------------------------------	""	""	""	""
(012)	""	""	""	""	""
""	  EINNAHMEN	""	""	""	""
111.02	Verwaltungsgebühren	428 	750 	650 	150 
""	""	632 	""	""	""
112.01	Zwangs- und Bußgelder	101 	140 	110 	70 
""	""	98 	""	""	""
119.02	Einnahmen aus Veröffentlichungen	19 	0 	-	-
(013)	""	1 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.531.01.	""	""	""	""
119.03	Kostenbeteiligung der Hamburg Port Authority an	0 	0 	-	-
""	der Ausbildung von Nachwuchskräften durch die BSU	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.525.91.	""	""	""	""
119.92	Schadenersatzleistungen	83 	25 	25 	22 
""	""	6 	""	""	""
119.93	Ersatzvornahmen	0 	0 	-	-
""	""	1 	""	""	""
119.95	Einnahmen aus Mahnkosten, Verspätungszuschlägen	21 	0 	-	-
""	und Stundungszinsen	12 	""	""	""
119.98	Vermischte Einnahmen	79 	100 	80 	80 
""	""	59 	""	""	""
124.01	Entgelte für die Mitbenutzung von IT-Einrichtungen	0 	0 	-	-
""	und Einnahmen aus dem Verkauf digitaler	0 	""	""	""
""	Programme	""	""	""	""
""	50.00  % der Einnahmen dienen zur Deckung der	""	""	""	""
""	Ausgaben bei 06.0.6000.547.02.	""	""	""	""
124.02	Einnahmen aus Werbeverträgen	0 	0 	-	-
""	""	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Ausgaben bei	""	""	""	""
""	06.0.6000.547.02	""	""	""	""
""	Dies gilt für Einnahmen bis zur Höhe von 500 EUR	""	""	""	""
""	uneingeschränkt, für darüber hinausgehende	""	""	""	""
""	Einnahmen in Höhe von 50 %	""	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
124.20	Einnahmen aus der Vermietung von Flächen der	0 	0 	""	""
""	Dienstgebäude der Behörde für Stadtentwicklung und	34 	""	""	""
""	Umwelt	""	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
""	Die Mehreinnahmen dienen zur Deckung der	""	""	""	""
""	Mehrausgaben bei 06.0.6000.517.22	""	""	""	""
""	06.0.6000.518.22.	""	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
6-0-0-0----	""	""	""	""	""
124.91	Einnahmen aus Vermietung, Verpachtung und	240 	62 	62 	7 
""	Nutzung von Grundstücken	92 	""	""	""
124.92	Einnahmen aus Dienst- und Werkdienstwohnungen	43 	46 	30 	15 
""	sowie aus Personalunterkünften	30 	""	""	""
231.01	Erstattungen für Zivildienstleistende vom Bund	0 	7 	7 	7 
""	""	8 	""	""	""
261.01	Erstattung von Verwaltungsgemeinkosten der Landes-	1.275 	1.059 	740 	289 
(721)	betriebe nach §§ 15 und 26 LHO sowie der Anstalten	1.115 	""	""	""
""	öffentlichen Rechts	""	""	""	""
281.01	Erstattung von Sachkosten der Anstalten öffent-	601 	224 	224 	224 
""	lichen Rechts u. a	509 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.461.01.	""	""	""	""
281.02	Rückzahlung der Kosten zur Einrichtung des	0 	0 	1.395 	-
""	Landesbetriebes Straßen, Brücken und Gewässer	0 	""	""	""
""	gemäß Drs. 18/4149 [Ziffer 8]	""	""	""	""
281.20	Erstattung durch Dataport für Gebäudekosten des	0 	0 	""	""
""	Dienstgebäudes Billstraße	0 	""	""	""
""	(Weggefallener Ansatz)	""	""	""	""
""	Die Mehreinnahmen dienen zur Deckung der	""	""	""	""
""	Mehrausgaben bei 06.0.6000.517.22.	""	""	""	""
281.21	Erstattungen von Landesbetrieben	127 	0 	-	-
""	""	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.511.22 06.0.6000.517.22	""	""	""	""
""	06.0.6000.518.22.	""	""	""	""
282.01	Beiträge Dritter zu Informationsveranstaltungen	7 	4 	-	-
(013)	""	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.531.01.	""	""	""	""
282.02	Beiträge Dritter zur Unterhaltung des Hamburger	6 	0 	-	-
(422)	Stadtmodells	13 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.535.01.	""	""	""	""
282.03	Zuschüsse Dritter zu den Maßnahmen im Zusammenhang	0 	0 	-	-
""	mit Hamburg Umwelthauptstadt 2011 (European Green	0 	""	""	""
""	Capital 2011)	""	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.535.10.	""	""	""	""
282.04	Zuschüsse Dritter zu den Aktionstagen zur	0 	0 	-	-
""	klimafreundlichen Mobilität (autofreie Sonntage)	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.531.01 06.0.6000.535.04.	""	""	""	""
Kap	""	Ergebnis	Ansatz	Ansatz	Ansatz
Titel	Zweckbestimmung	2008 , 2009	2010	2011	2012
Nr	""	Tsd EUR	Tsd EUR	Tsd EUR	Tsd EUR
1	2	3	4	5	6
6-0-0--0---	""	""	""	""	""
282.05	Spenden für den Umweltschutz	0 	0 	-	-
(331)	""	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Ausgaben bei	""	""	""	""
""	06.0.6000.546.04	""	""	""	""
282.06	Zuschüsse Dritter für die Durchführung des	0 	0 	-	-
""	Hamburger Architektursommers	0 	""	""	""
""	Die Einnahmen dienen zur Deckung der Mehrausgaben	""	""	""	""
""	bei 06.0.6000.685.02.	""	""	""	""
""	Gesamteinnahmen	""	2.417	3.323	864 
""	AUSGABEN	""	""	""	""
KRD	Kontenrahmen für Dienstbezüge 	18.789 	19.464 	18.948 	15.693 
""	""	19.713 	""	""	""
""	""	1.652 R	""	""	""
KRN	Kontenrahmen für Nebenleistungen - Beihilfen,	155 	0 	-	-
""	Unterstützungen u. dgl.	118 	""	""	""
KRN	Kontenrahmen für Nebenleistungen -	3 	0 	-	-
""	personalbezogene Sachausgaben	3 	""	""	""
KRV	Kontenrahmen für Versorgung 	2.249 	2.713 	3.240 	3.890 
""	""	2.613 	""	""	""
412.01	Aufwandsentschädigungen und andere Ausgaben für	8 	26 	26 	26 
""	Deputierte, ehrenamtliche Beisitzerinnen und	11 	""	""	""
""	Beisitzer usw	""	""	""	""
459.95	Prämien im Rahmen des betrieblichen	0 	0 	-	-
""	Vorschlagwesens	0 	""	""	""
461.01	Zentral veranschlagte Personalausgaben im	0 	0 	-	-
""	Einzelplan 6	0 	""	""	""
""	Übertragbar	""	""	""	""
""	Mehrausgaben dürfen geleistet werden in Höhe der	""	""	""	""
""	Einnahmen bei 06.0.6000.281.01.	""	""	""	""
""	Ausgaben dürfen geleistet werden in Höhe der	""	""	""	""
""	anteiligen Einnahmen bei 06.0.6700.111.06	""	""	""	""
""	Ausgaben dürfen geleistet werden in Höhe der	""	""	""	""
""	Einnahmen bei 06.0.6800.261.01	""	""	""	""
""	Die Mittel dienen zum Ausgleich von Mehrausgaben	""	""	""	""
""	bei stellengebundenen Personalausgaben im KRD-	""	""	""	""
""	Bereich des Einzelplans	""	""	""	""
461.20	Beitrag zur Finanzierung des Modernisierungsfonds	0 	304 	""	""
""	""	0 	""	""	""
