1000	119.02	Erstattungen parlamentarischer Gremien oder Funktionsträger für sächliche Aufwendungen der Bürgerschaftskanzlei Die Einnahmen dienen zur Deckung der Ausgaben bei 01.0.1000.534.05	10	16	0	-	-
1000	119.95	Einnahmen aus Mahnkosten, Verspätungszuschlägen und Stundungszinsen	0	0	0	-	-
1000	119.98	Vermischte Einnahmen	0	0	0	-	-
1000	282.01	Zweckgebundene Einnahmen für Veranstaltungen Die Einnahmen dienen zur Deckung der Mehrausgaben bei 01.0.1000.534.03.	1	1	0	-	-
1000	382.01	Beteiligung der Abgeordneten an Versorgungs- Die Einnahmen dienen zur Deckung der Ausgaben bei 01.0.1000.982.01	0	\"\"	0	\"\"	209 
1000	389.01	Beteiligung der Abgeordneten an Versorgungs- leistungen (Weggefallener Ansatz) Die Einnahmen dienen zur Deckung der Ausgaben bei 01.0.1000.429.01 Gesamteinnahmen AUSGABEN Unterstützungen u. dgl. personalbezogene Sachausgaben	193	204	212	206	\"\"
1000	411.01	Steuerpflichtiges Entgelt gemäß § 2 HmbAbgG Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	4.314	4.558	4.438	4.765	4.463 
1000	411.02	Fahrtkosten und Reisekosten gem. § 3 (4) HmbAbgG als Aufwandsentschädigung Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	134	131	160	115	114 
1000	411.04	Zuschüsse zum Familienunterhalt an Abgeordnete bzw. ihre Familien Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	88	84	90	80	80 
1000	411.06	Zuschuss zur Kranken- und Pflegeversicherung gem. § 5 HmbAbgG Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	104	111	107	122	117 
1000	411.07	Bürokosten gemäß § 3 (1) HmbAbgG als Aufwandsent- schädigung Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	1.176	1.004	1.120	1.756	980 
1000	411.08	Kostenpauschale gemäß § 3 (2) HmbAbgG als Auf- wandsentschädigung Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	527	504	511	532	511 
1000	411.09	Zuschuss für Hilfskräfte gemäß § 3 (3) HmbAbgG als Aufwandsentschädigung Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	3.554	4.573	4.529	4.711	4.578 
1000	411.10	Sitzungsgelder gemäß § 4 HmbAbgG als Aufwandsent- schädigung Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	164	228	219	255	255 
1000	411.11	Altersentschädigung, Leistungen an Hinterbliebene gem. §§ 11, 14 und 15 HmbAbgG Übertragbar Deckungsfähig im Kapiteldeckungskreis KDK-010-1000-01 .	89	125	157	163	232 
1000	429.01	Zuführung an das Sondervermögen Versorgungsfonds Bürgerschaft Übertragbar (Weggefallener Ansatz) Ausgaben dürfen geleistet werden in Höhe der Einnahmen bei 01.0.1000.389.01	193	204	212	206	\"\"
1000	459.95	Prämien im Rahmen des betrieblichen Vorschlagwesens	0	0	0	-	-
1000	461.01	Zentral veranschlagte Personalausgaben des Kapitels 1000 Übertragbar Die Mittel dienen zum Ausgleich von Mehrausgaben bei stellengebundenen Personalausgaben im KRD- Bereich des Kapitels	0	0	0	-	-
1000	461.20	Beitrag zur Finanzierung des Modernisierungsfonds Übertragbar (Weggefallener Ansatz)	0	0	16	\"\"	\"\"
1000	519.01	Unterhaltung der Grundstücke und baulichen Anlagen Übertragbar	327	286	269	244	244 
1000	523.01	Mikroverfilmung von Parlamentsmaterialien Übertragbar	12	0	0	-	-
1000	523.02	Bücher, Zeitschriften und Medien der Parlamentsbibliothek Übertragbar	64	59	62	57	57 
1000	525.91	Aus- und Fortbildung Übertragbar	3	10	4	6	6 
1000	525.92	Erstattung an das Zentrum für Aus- und Fortbildung	6		6	6	6 
1000	529.01	Verfügungsmittel  des Präsidenten Übertragbar	12	20	13	13	13 
